time_ms,ax,ay,az,gx,gy,gz
12,-0.7578,0.3764,0.3489,-0.433,0.7128,0.6497
25,-0.7561,0.3784,0.356,1.0174,0.5601,1.3214
39,-0.7573,0.3833,0.3389,0.3456,0.0715,0.0848
53,-0.7551,0.3818,0.3475,0.2388,-0.2185,-0.9076
92,-0.7566,0.3718,0.3592,0.0861,0.6822,1.2146
105,-0.7573,0.3742,0.3531,1.2006,0.5754,1.6878
117,-0.76,0.3825,0.347,1.2159,0.1326,1.123
131,-0.7573,0.3872,0.3487,0.422,-0.6307,-0.4648
144,-0.7581,0.3899,0.3453,-1.2269,-0.3865,-1.6557
157,-0.7561,0.3791,0.3477,-1.9902,-0.1727,-2.419
196,-0.7549,0.3742,0.3518,1.3838,0.0105,2.5123
210,-0.7585,0.3764,0.3531,3.9029,0.1173,3.0008
223,-0.7566,0.3896,0.3516,1.2159,0.27,1.0619
236,-0.7605,0.3869,0.3479,-0.1887,0.438,-0.8465
249,-0.7561,0.3852,0.3453,-1.578,0.957,-2.2205
262,-0.7551,0.3818,0.3494,-1.578,0.667,-1.8389
302,-0.7595,0.3984,0.3724,4.6052,-2.6765,4.0237
315,-0.7456,0.3852,0.3692,3.7502,-4.8598,7.0314
327,-0.7192,0.3962,0.3794,2.7884,-4.5544,15.5199
341,-0.7605,0.3642,0.3814,1.1701,-1.9132,20.5581
354,-0.7327,0.3996,0.3965,-4.0055,-3.8674,21.7031
367,-0.7939,0.3103,0.4556,9.8571,-3.2109,14.5886
407,-0.8005,0.5539,0.3758,7.964,-37.1498,15.8711
420,-0.6025,0.4062,0.2503,6.9105,-27.9743,18.2527
433,-0.5596,0.417,0.2102,0.0861,-11.3483,14.4817
446,-0.6943,0.4678,0.3509,-3.3643,-0.9972,9.7795
459,-0.8005,0.4177,0.4148,-6.0971,-3.1956,12.2222
472,-0.7964,0.3962,0.4319,-8.9979,-11.8521,9.9016
512,-0.6523,0.3623,0.3338,-8.0055,-21.1346,-4.4343
526,-0.6804,0.376,0.3675,-3.7918,-18.0506,-7.6862
538,-0.7432,0.5371,0.3562,-12.3566,-15.043,-8.4496
551,-0.7405,0.5346,0.388,-18.7994,-13.4704,-2.4648
564,-0.6833,0.4314,0.3899,-19.9444,-13.1346,0.2527
577,-0.6816,0.3808,0.4104,-16.0513,-9.8674,0.3291
618,-0.6186,0.397,0.2784,-21.7154,8.667,-2.7702
630,-0.6096,0.3005,0.3135,-23.8528,21.4151,-10.0984
643,-0.7429,0.3701,0.4119,-23.2269,25.7051,-14.9686
656,-0.8157,0.3264,0.4629,-18.2956,21.5983,-13.4572
670,-0.7827,0.2912,0.4146,-13.2421,16.8807,-12.7244
683,-0.7446,0.3274,0.3885,-8.8605,17.0334,-11.8083
722,-0.7825,0.3611,0.4351,-0.3108,1.9341,-9.0908
735,-0.7104,0.3782,0.3599,0.0556,1.1555,-8.6786
748,-0.7017,0.426,0.3721,-1.4253,5.8273,-6.2664
761,-0.7629,0.4226,0.4185,-0.6315,7.6593,-2.5717
774,-0.8391,0.374,0.5122,-0.8757,4.8044,2.5886
787,-0.7588,0.3618,0.4119,2.0861,1.8425,0.2833
827,-0.7324,0.3691,0.3982,-2.9826,-2.1269,-2.3732
840,-0.7595,0.3435,0.4017,-0.4788,-3.2567,-1.045
853,-0.7522,0.3308,0.3829,2.9563,-3.043,-0.419
866,-0.708,0.3669,0.4026,1.4602,-2.3254,-1.6862
879,-0.7346,0.395,0.3902,-1.2421,-0.7987,-1.961
892,-0.738,0.3918,0.4136,-6.7689,2.1631,-3.5641
932,-0.7375,0.3388,0.4248,-0.1582,8.5601,-2.4954
945,-0.7344,0.3052,0.4602,-1.8528,6.7586,-2.6022
958,-0.738,0.3694,0.3963,-5.7765,1.1097,-4.9534
971,-0.7664,0.1225,0.4449,0.651,-15.2262,-19.4419
984,-0.7283,0.3804,0.6778,-6.2956,-6.5391,-8.2664
998,-0.6621,0.2439,0.1795,57.8876,-31.333,-17.1824
1037,-0.7253,0.407,0.5047,6.2693,-16.1575,-16.1442
1051,-0.7524,0.5014,0.1932,-8.9215,-4.8903,-3.1824
1063,-0.7781,0.345,0.407,-8.1582,5.2471,1.5657
1076,-0.7485,0.3728,0.3897,-2.7078,5.5983,0.5275
1088,-0.7512,0.3562,0.3868,1.2311,1.5525,-2.4343
1101,-0.7602,0.3535,0.3706,6.651,-3.2872,-5.1518
1142,-0.8003,0.3633,0.6155,17.2159,24.6212,2.9856
1155,-0.7417,0.4055,0.4026,2.5594,36.1631,4.1306
1168,-0.6897,0.4792,0.2469,-9.0131,38.6975,6.8482
1182,-0.6663,0.2971,-0.227,-42.2803,44.5448,4.5886
1194,-0.8298,0.5036,0.2808,7.2922,4.5906,7.81
1207,-0.7117,0.2192,0.4703,-27.6544,20.4532,1.2298
1247,-0.6919,0.3711,0.5755,19.0174,7.3235,2.6955
1260,-0.6689,0.3723,0.5621,2.9716,7.7815,-0.2511
1273,-0.6802,0.3484,0.6504,17.0174,-3.8216,1.3672
1286,-0.7607,0.3137,0.427,12.7579,-7.6384,0.4359
1300,-0.7368,0.3957,0.3479,4.0708,-12.4933,-0.4343
1312,-0.7649,0.3872,0.3555,-5.578,-18.814,-7.9305
1352,-0.7842,0.3493,0.3233,-18.7231,-0.9514,-4.0984
1365,-0.7476,0.4595,0.3226,-13.746,1.4456,4.8787
1378,-0.7686,0.657,0.3902,-18.9368,-5.9132,20.9245
1391,-0.886,0.4609,0.5052,-18.204,-34.7682,24.726
1404,-0.6755,0.279,0.2967,-26.2192,-30.814,15.581
1417,-0.6067,0.3218,0.293,-24.7841,-11.2872,0.9092
1457,-0.5784,0.248,0.3553,-30.3719,-0.9056,-13.0755
1470,-0.6042,0.29,0.3489,-33.9597,6.896,-17.4572
1484,-0.604,0.1836,0.3433,-37.7154,16.2395,-25.2893
1497,-0.6743,0.0928,0.3731,-40.7689,25.125,-40.1442
1509,-1.1606,0.3584,0.8977,-13.4864,8.3616,-27.7931
1523,-0.8677,-0.2339,0.5621,5.796,-3.6842,-20.3122
1562,-0.7629,0.3757,0.5464,-7.6086,-15.6536,-22.8618
1575,-0.7104,-0.2005,0.5721,55.0785,-10.8445,-6.0221
1589,-0.6448,0.4582,0.335,77.6281,-13.4094,2.3138
1600,-0.6433,0.3901,0.5372,58.9716,-8.3407,4.5581
1613,-0.7678,0.4971,0.4139,5.109,3.5219,-2.7854
1627,-0.7563,0.3408,0.4039,-9.7307,1.3693,-22.5259
1668,-0.7605,0.2539,0.4122,-4.036,-4.4628,-17.8541
1681,-0.7671,0.2605,0.4151,0.4831,-5.8674,-10.9839
1693,-0.7624,0.2607,0.4217,6.651,-5.2872,-3.6099
1706,-0.7576,0.2673,0.4256,8.6815,-2.2643,2.2222
1719,-0.7524,0.2803,0.4366,5.8266,1.8578,5.581
1732,-0.7549,0.271,0.431,2.4525,4.3922,5.413
1772,-0.7634,0.2903,0.4046,0.9411,-1.0124,0.5428
1785,-0.7656,0.2859,0.407,1.1548,-3.4704,-0.877
1799,-0.7632,0.2905,0.418,1.6739,-4.2643,-1.274
1811,-0.7588,0.2756,0.4248,1.9487,-4.1575,-1.0144
1824,-0.7578,0.2829,0.4217,3.2006,-2.3254,-0.2816
1837,-0.7537,0.2817,0.4212,1.964,-0.7071,-0.5717
1877,-0.7551,0.2822,0.4197,0.7121,1.4303,1.3062
1890,-0.7583,0.2837,0.417,1.0937,1.0639,4.2833
1903,-0.7529,0.2761,0.4197,1.506,0.9418,6.7718
1916,-0.7561,0.2886,0.4126,1.6434,0.4685,7.3062
1929,-0.7632,0.2956,0.42,2.1777,-0.5086,5.642
1942,-0.7607,0.2993,0.4217,0.2998,-0.0659,1.7947
1983,-0.749,0.2783,0.4173,-4.3872,0.8196,-2.3122
1995,-0.7644,0.2751,0.4173,1.0174,-0.2185,-1.0297
2008,-0.7622,0.2929,0.4185,3.1395,-1.104,0.1917
2021,-0.7578,0.2871,0.4209,3.0327,-1.8216,0.0085
2034,-0.7502,0.2912,0.4153,-0.3566,-2.3101,-1.1824
2047,-0.7637,0.2859,0.4297,-1.2116,-1.8369,-2.419
2087,-0.7541,0.2798,0.4214,-0.6315,-0.6307,0.3443
2100,-0.7566,0.2781,0.4253,1.2311,-0.6155,1.5504
2112,-0.7617,0.2842,0.4288,1.796,0.2547,2.2527
2126,-0.7578,0.2895,0.4226,0.6052,0.5296,2.3749
2138,-0.7566,0.2866,0.4246,0.9105,0.8502,2.3443
2151,-0.7561,0.2854,0.4244,0.0708,1.2318,3.0772
2192,-0.7546,0.2949,0.4214,0.7273,0.5906,2.9856
2205,-0.7507,0.2969,0.4143,0.3151,-0.5544,1.9321
2218,-0.7585,0.2881,0.4234,-0.5704,-0.7834,1.2909
2231,-0.7539,0.2886,0.4175,-0.0818,-0.7529,0.5733
2244,-0.7588,0.2978,0.4297,-0.1887,-0.3254,-0.587
2257,-0.7629,0.3027,0.4202,-1.5322,-0.188,-2.0831
2297,-0.7539,0.2795,0.4258,1.1853,0.3769,-0.1289
2310,-0.7522,0.2871,0.4173,1.4602,0.5143,1.2604
2323,-0.7551,0.2912,0.4231,1.3075,0.1784,1.413
2336,-0.7595,0.2903,0.4183,1.6281,0.4227,0.9398
2349,-0.7527,0.2949,0.4214,0.2846,0.6212,0.5123
2362,-0.7546,0.2944,0.4224,-1.0131,0.2089,-1.0908
2402,-0.7612,0.2903,0.4214,-1.3032,-0.2643,-0.9839
2415,-0.7602,0.2812,0.4258,0.9411,-0.8598,0.6344
2427,-0.7556,0.2866,0.4229,3.3991,-0.8445,1.7184
2441,-0.7568,0.2898,0.4256,2.254,-0.9666,0.955
2455,-0.7563,0.2978,0.4307,0.3609,-0.3101,-0.7091
2467,-0.7522,0.2927,0.4288,-1.7154,0.27,-2.0831
2507,-0.7546,0.2788,0.427,0.0098,-0.3254,0.2222
2520,-0.761,0.2842,0.4239,2.7121,0.1173,2.4512
2533,-0.7559,0.2969,0.4226,2.2235,0.2089,2.0237
2546,-0.751,0.2939,0.4241,-0.1124,0.1784,-0.0526
2560,-0.7568,0.2912,0.4268,-1.4711,0.1937,-1.1213
2572,-0.7563,0.2868,0.4297,-1.1047,0.4074,-1.9915
2612,-0.7598,0.28,0.4241,1.5365,-0.6307,0.7413
2625,-0.7605,0.2939,0.4226,1.796,-0.814,1.4588
2638,-0.759,0.2964,0.4192,0.5747,-0.4933,0.2985
2651,-0.7566,0.2876,0.428,-0.7536,0.2395,-0.4496
2664,-0.7588,0.2839,0.4261,-0.8757,0.7586,-0.4038
2677,-0.7554,0.2849,0.4229,-0.3261,1.2013,0.3596
2717,-0.7576,0.2881,0.4244,0.3914,-0.2338,0.4512
