time_ms,ax,ay,az,gx,gy,gz
11,-0.8788,1.0029,0.5675,-0.2065,-0.6816,0.3752
53,-0.8752,1.0059,0.5595,-0.5271,-0.5137,0.1615
65,-0.881,1.0076,0.5678,-0.8019,-0.361,0.4668
77,-0.8742,1.0071,0.5675,0.0072,0.0054,0.7111
89,-0.8744,1.0056,0.559,0.5874,0.4176,0.2989
101,-0.8759,1.0105,0.5597,1.5492,0.4939,-0.1133
114,-0.8776,1.009,0.5636,0.0988,-0.1626,-0.663
155,-0.8739,1.0015,0.5653,-0.0996,0.3718,1.0012
167,-0.8754,1.0032,0.5602,-0.2676,0.4481,0.9706
179,-0.8744,1.0093,0.5592,0.45,0.2955,1.1386
191,-0.8764,1.0068,0.5644,-0.6951,0.1886,0.0393
203,-0.8764,1.0056,0.5627,-0.1912,-0.0557,-0.4034
215,-0.8718,1.0083,0.5614,0.0988,-0.0099,-0.4798
257,-0.8852,1.0081,0.5692,-3.6111,-2.4221,2.2531
269,-0.8876,1.0288,0.5568,-3.3668,-2.758,6.3141
281,-0.9286,0.9824,0.5749,-17.5347,-8.4832,12.1615
294,-0.9035,1.0325,0.5597,-10.6951,-14.3458,25.1844
306,-0.8876,1.0127,0.5758,-13.2141,-17.7045,35.7951
317,-0.8813,1.0579,0.6066,-4.7103,-19.6435,50.65
359,-0.7311,0.7266,0.9645,-5.321,-142.422,23.5508
371,-0.3158,0.9019,0.7008,5.7782,-131.674,-6.9225
384,-0.2336,1.2085,0.3935,43.4271,-79.0633,-10.7698
395,-0.4257,1.5696,0.2067,33.0149,-23.8725,-18.9988
407,-0.7289,1.4558,0.3358,7.8088,26.2802,-27.2584
419,-1.0124,1.3096,0.5509,-20.7256,34.0359,-37.8538
461,-0.9572,0.8225,0.6964,-8.9393,1.3031,-2.8462
473,-0.8793,1.01,0.672,-11.718,1.5168,8.9706
485,-0.8351,1.0501,0.6877,-4.1149,1.8222,9.7645
497,-0.7912,1.0674,0.7372,-9.5347,-1.1244,-1.2278
509,-0.8176,0.9717,0.706,-9.0767,0.1886,-11.182
521,-0.8278,1.0137,0.6828,-5.1225,2.5703,-17.0599
563,-0.8549,0.9883,0.6901,15.3507,15.1962,-1.8233
576,-0.8613,1.0164,0.6884,15.6714,17.8527,-0.7851
588,-0.8459,0.968,0.6869,15.824,19.8527,-0.7851
599,-0.8796,0.9771,0.7365,19.8088,15.3031,-1.9301
611,-0.8564,1.0088,0.6794,16.4195,15.5932,4.2531
623,-0.7768,0.5496,1.0321,28.7095,-45.3381,-53.7622
665,-0.8256,0.9868,0.9442,-11.092,-37.903,-35.7622
677,-0.8949,1.1929,0.3158,16.2668,4.5703,-0.2049
689,-0.8449,1.0422,0.5785,-7.1683,3.242,-5.9454
702,-0.8825,1.0271,0.643,-30.9546,-3.6893,-13.7927
714,-0.8923,1.0337,0.7104,-69.6569,-15.216,-36.3576
726,-0.8659,0.9653,0.6349,-60.3592,-17.1702,-42.8309
768,-0.7839,1.0012,1.2599,-37.4889,54.555,19.5202
779,-0.901,1.1331,0.3256,-27.8401,48.1122,13.4134
791,-0.8786,0.4819,1.1881,2.8775,47.0435,6.2683
804,-0.9338,0.8677,-0.2403,84.908,38.8603,14.1767
