time_ms,ax,ay,az,gx,gy,gz
13,-0.7305,0.7443,0.7601,-4.4492,-0.4324,-3.2982
26,-0.7293,0.7433,0.7645,-3.3652,-1.0431,-1.9242
39,-0.7259,0.7411,0.7557,-0.0675,-0.5546,0.2438
52,-0.7308,0.7511,0.7586,-0.5713,-0.234,0.8087
92,-0.7301,0.7506,0.7618,-0.1286,1.5981,-2.3669
106,-0.723,0.7458,0.7579,-0.2965,1.018,-1.6951
119,-0.7244,0.7404,0.7586,1.3371,-0.0049,0.4423
132,-0.7281,0.7472,0.7628,1.5661,-0.3256,2.3354
144,-0.7293,0.7504,0.7613,4.1157,0.2851,3.2514
157,-0.7291,0.7563,0.7679,3.1386,1.3538,1.3736
199,-0.7313,0.7519,0.7599,0.8943,0.2088,2.0758
212,-0.7366,0.7511,0.7611,2.8027,-1.837,4.3812
225,-0.755,0.8144,0.7731,-8.7545,-2.9057,-3.3135
238,-0.7386,0.7777,0.7699,-27.808,-4.0355,-12.26
251,-0.6956,0.8932,0.7728,-50.2049,-4.753,-14.1837
264,-0.8621,0.9433,0.65,-69.2736,-5.7454,-16.5043
305,-0.8914,0.8527,0.7879,-12.037,-51.3943,129.496
318,-0.4837,0.5302,0.6405,-27.35,-44.3866,112.626
331,-0.0919,0.6054,0.3802,-12.5561,-15.7912,84.1827
343,-0.0172,0.7892,0.4391,0.6806,29.934,71.5415
357,-0.0318,0.7919,0.3807,-17.6706,75.247,66.4117
370,-0.1549,0.622,0.4789,-27.5179,119.4,53.4957
410,-0.8035,0.911,0.8683,75.6424,42.9569,18.2896
423,-0.4215,0.7599,1.5462,5.0928,-4.4782,15.1904
437,-0.7586,0.2358,1.0965,38.36,-43.5775,-16.199
450,0.0417,0.5124,1.4491,44.3294,-49.4095,-22.718
463,-1.3265,-1.3223,1.9896,45.6424,-93.379,-112.184
476,-0.4339,0.1545,1.7911,4.5279,-81.5927,-129.634
517,-1.6085,2.6776,-0.5424,85.1539,-57.5775,-37.7867
530,-0.9957,1.2948,0.6974,-36.3118,-29.5927,-36.7638
543,-0.8397,1.1418,0.9559,-81.7011,-14.7072,-36.1837
555,-0.7288,0.9621,0.8436,-67.1057,-16.524,-40.3211
569,-0.7574,0.7812,0.7296,-109.747,-21.8981,-61.0997
582,-1.2276,0.5009,-0.0944,-96.7698,14.9264,-59.0387
622,-0.6563,0.778,1.8617,95.1997,93.7966,-0.7791
635,-0.8299,0.1105,1.5877,46.4363,108.392,-12.3211
648,-0.8551,0.6454,0.3751,58.7264,74.0103,18.885
662,-0.4959,0.6007,1.5951,29.963,52.6668,-3.9852
675,-0.6905,1.0465,0.3578,27.4439,44.3615,14.2743
688,-0.3231,1.2035,1.7469,53.5355,24.9722,20.9461
729,-0.722,0.7809,0.795,-32.1133,21.2164,-2.7486
742,-0.7025,0.7682,1.1,-35.579,8.6821,-8.1379
755,-0.9981,1.1684,1.3387,1.0012,-59.4248,9.6026
767,-1.1595,1.2157,1.2315,-15.6248,-128.707,87.0835
781,-0.9183,0.9452,0.6063,-4.8919,-143.287,115.038
794,-0.4732,0.8146,0.1468,-21.4416,-104.158,95.4804
834,0.016,0.7074,0.1068,-90.1133,89.2775,34.5644
847,-0.1065,0.3713,0.2962,-87.7316,149.552,1.0835
861,-0.6124,0.8127,0.034,-107.548,-161.318,-85.8936
874,-0.9671,0.2362,0.7359,258.711,35.2164,40.4728
887,-0.6534,0.6127,0.6803,62.8027,25.4149,13.3278
899,-0.6002,-0.4276,1.0069,45.4287,-21.3637,-38.3974
941,-0.6488,0.5844,1.2679,24.5279,14.2241,-124.367
954,-0.4945,1.7616,0.6703,180.406,-0.1118,-84.5959
966,-0.7349,0.4555,0.9896,1.8256,-2.4019,-42.0768
979,-0.7042,1.3923,0.8839,12.7111,-2.0355,28.656
993,-0.7144,0.8366,0.7723,6.4974,-2.295,14.0606
1006,-0.7449,0.8261,0.7782,-15.8538,1.018,-8.3822
1046,-0.7225,0.7301,0.7547,-8.6935,-5.7607,1.969
1060,-0.7215,0.7011,0.7613,10.36,-4.6767,14.9919
1073,-0.7196,0.7309,0.7716,15.047,-4.5088,18.9155
1086,-0.7208,0.7402,0.7635,8.131,-3.2416,12.3354
1098,-0.723,0.759,0.7752,7.4897,1.0332,4.9613
1111,-0.7222,0.7553,0.7745,5.3981,3.3538,-1.7409
1152,-0.7225,0.7404,0.7623,6.6042,-0.982,2.8392
1165,-0.7215,0.7389,0.7684,4.2378,-2.066,5.6484
1178,-0.7261,0.7448,0.7694,7.2302,-1.0584,7.5262
1191,-0.7196,0.7782,0.7635,1.7645,-1.4401,5.4957
1205,-0.7237,0.7509,0.7779,-0.1896,-1.3179,1.9232
1217,-0.7222,0.755,0.7733,-2.0064,-0.1882,-1.1303
1258,-0.7296,0.7409,0.7767,-0.0064,0.1783,-0.718
1271,-0.7176,0.7543,0.7728,-1.2736,0.1172,-1.3287
1285,-0.7259,0.7465,0.7706,-1.0904,-0.8141,-0.1532
1297,-0.7144,0.7482,0.7643,-2.9225,-1.8065,-0.718
1310,-0.731,0.759,0.7865,-1.6553,-1.0584,-0.5654
1323,-0.7205,0.7546,0.7704,-1.5942,0.5599,-1.9547
1364,-0.7235,0.7399,0.7726,-1.8996,-0.0355,-0.2448
1377,-0.7196,0.7438,0.7738,0.5737,0.3157,1.2667
1390,-0.7181,0.7472,0.7669,-1.35,-0.0813,-0.3669
1403,-0.7271,0.7472,0.7799,-0.1744,0.0409,0.2591
1416,-0.7149,0.7575,0.7667,-0.3423,-0.0202,-0.7028
1427,-0.7208,0.7367,0.7701,1.0165,-0.0202,-0.1226
1468,-0.7215,0.7426,0.7687,8.9249,0.9874,3.801
1481,-0.7152,0.7477,0.7689,1.6119,0.5141,0.8239
1495,-0.7239,0.7521,0.7643,-0.7393,0.2088,-1.344
1507,-0.7286,0.7448,0.7699,0.3447,0.2088,-0.7791
1519,-0.7222,0.7497,0.7718,0.2531,0.2393,0.6102
1531,-0.712,0.7338,0.766,1.6882,-0.5088,2.7934
1572,-0.7232,0.759,0.7696,3.3981,1.1706,1.114
1585,-0.72,0.7524,0.7738,3.047,1.1248,0.0758
1598,-0.7205,0.759,0.7699,-1.9912,0.3309,-1.1913
1612,-0.7227,0.7465,0.7699,-1.35,-0.2187,-0.4585
1624,-0.7181,0.7465,0.7689,-0.3729,-0.3408,1.3736
1637,-0.721,0.7585,0.7672,1.3065,-0.2187,2.6102
1679,-0.7183,0.7563,0.7723,-0.8614,0.7584,0.8697
1691,-0.7213,0.7521,0.7669,2.4821,1.5523,1.2362
1704,-0.7276,0.7585,0.7689,1.4287,1.4149,0.5797
1717,-0.7169,0.759,0.7699,-0.7393,0.4683,-0.3669
1730,-0.7215,0.748,0.7652,-0.3881,-0.2798,0.8545
1741,-0.7235,0.7502,0.7752,1.3981,-0.0507,2.1522
1782,-0.7198,0.7543,0.7699,3.2149,0.7431,3.0224
1795,-0.723,0.7675,0.7677,-0.5408,0.0867,0.8697
1808,-0.7198,0.7565,0.766,-1.0904,0.1935,-0.0005
1821,-0.7252,0.7585,0.7689,-5.4263,0.4073,-0.2906
1834,-0.7276,0.7631,0.7814,-1.6095,0.2088,-0.2906
1847,-0.7232,0.7646,0.7662,0.0241,0.1783,-0.3974
1888,-0.7205,0.7604,0.7733,-0.1591,0.0256,1.2209
1901,-0.7249,0.7614,0.7648,1.0928,-0.5698,0.3812
1914,-0.7205,0.7597,0.7694,2.3905,-0.8752,-0.4432
1928,-0.7122,0.7795,0.7584,2.3294,-0.7225,-1.5425
1940,-0.7213,0.7631,0.7718,-0.6019,-1.1958,-2.489
1953,-0.7198,0.7541,0.7679,-0.7698,-0.1576,-1.7715
1994,-0.7156,0.7521,0.7662,3.2302,1.4302,2.9766
2007,-0.7222,0.7604,0.7672,3.7798,1.1096,2.0911
2020,-0.7213,0.7624,0.7757,4.5126,1.4912,1.2667
2033,-0.7196,0.7616,0.7696,0.5737,0.3309,-0.9318
2045,-0.7235,0.7614,0.7713,-0.6477,-0.1423,-1.3593
2057,-0.7181,0.7597,0.7657,-0.3881,0.2393,-0.8096
2099,-0.7232,0.7646,0.764,2.3142,0.4225,0.9308
2112,-0.7188,0.7555,0.7682,3.1081,0.6057,1.6942
2125,-0.72,0.7648,0.7713,-0.4797,-0.0813,0.198
2137,-0.72,0.7568,0.7679,-1.579,0.0714,-0.0921
2150,-0.722,0.7651,0.7665,1.5203,0.621,0.5339
2163,-0.7205,0.7626,0.7696,0.9249,0.6821,0.6255
2203,-0.72,0.7707,0.7669,0.421,1.0485,1.0835
2217,-0.7193,0.7692,0.7662,1.6271,0.5905,0.7171
2230,-0.7222,0.7685,0.7696,-0.4492,0.3157,-1.2524
2243,-0.722,0.7599,0.7652,-0.8614,-0.066,-1.4661
2256,-0.7188,0.7629,0.7667,-0.8919,-0.3714,-2.0616
2269,-0.7186,0.7616,0.7689,-1.6553,-0.9668,-1.6188
2310,-0.7166,0.7543,0.7709,0.2226,0.2699,0.0911
2323,-0.7171,0.756,0.7679,0.8943,0.3462,1.2056
2336,-0.7117,0.776,0.7606,0.4668,0.621,0.6102
2348,-0.7186,0.7585,0.7713,1.5966,0.5905,0.2896
2361,-0.7203,0.7594,0.7701,2.2073,0.9874,0.1064
2375,-0.7205,0.7609,0.7677,0.7111,1.2622,0.6102
2417,-0.7244,0.7648,0.7696,-1.579,-0.3256,-0.8402
2429,-0.7169,0.7607,0.7667,-4.0064,-0.0049,-1.7867
2442,-0.7178,0.7592,0.7635,-2.3729,-0.9515,-1.4509
2455,-0.723,0.756,0.7684,-0.3881,-0.6614,-0.0005
2468,-0.7203,0.7641,0.7684,0.8333,0.1935,1.4499
2481,-0.7196,0.7624,0.7704,0.9859,0.3462,1.8468
2522,-0.7242,0.7621,0.7704,-1.3652,1.0485,0.8087
