time_ms,ax,ay,az,gx,gy,gz
9,-0.6551,1.0013,0.6759,-1.5935,0.0814,0.0398
22,-0.6546,1,0.6862,-0.2347,0.234,1.4139
35,-0.6661,1.0057,0.6801,0.2691,0.2951,1.475
49,-0.6642,1.0054,0.6735,-0.3264,-0.3461,0.9253
62,-0.6593,1.0035,0.6891,-1.2882,-0.2087,0.1162
103,-0.6571,0.9971,0.6776,-0.708,-0.514,-0.7998
116,-0.6529,1.004,0.673,-3.9599,-0.9721,-0.7998
128,-0.6595,1.0127,0.6794,-0.1126,0.1424,0.162
142,-0.6583,1.001,0.6872,1.75,0.3562,1.9024
155,-0.6576,0.9925,0.6869,3.3836,0.5547,2.6811
168,-0.6505,1.0237,0.6769,-3.4561,-0.224,0.7574
209,-0.6588,0.9927,0.6903,-2.6928,0.3562,-0.9983
222,-0.66,1.001,0.6823,-3.7309,-0.453,-1.7922
235,-0.6693,0.9991,0.6962,-2.1279,-0.7278,-0.693
247,-0.6803,1.0054,0.6896,1.0019,-1.5217,2.0093
260,-0.6515,0.9737,0.6911,5.8416,-2.9568,6.1314
273,-0.6827,0.98,0.7045,9.353,-3.1705,11.8566
315,-0.7875,1.0115,0.945,21.5973,-25.827,-0.9831
327,-0.7521,1.052,0.8991,14.9561,-39.3385,7.7345
341,-0.6678,0.8958,0.8854,1.3988,-50.3156,6.8185
354,-0.5958,0.897,0.8366,1.6736,-59.5369,4.1467
367,-0.6017,0.9051,0.7399,-14.5706,-63.3385,-5.7311
380,-0.4767,1.0267,0.642,-18.9523,-57.0331,-11.8686
422,-0.3902,1.1829,0.6208,-18.7691,-15.3385,-13.2731
434,-0.3924,1.2935,0.5404,-43.9141,0.4783,-9.7617
447,-0.4003,1.1939,0.5695,-60.9676,16.3715,-8.7235
460,-0.535,1.1351,0.7065,-80.3874,22.7379,-13.6548
473,-1.2281,0.927,1.0941,-87.3798,19.0585,-21.6701
486,-1.1019,0.4248,0.682,-67.9905,-2.8347,-28.6014
527,-0.724,0.9476,0.6154,-17.8531,10.4783,-15.4411
540,-0.8133,0.7969,0.6156,-5.8378,29.9592,-4.9678
553,-0.8695,0.9554,0.4264,41.1698,36.8905,4.3299
566,-0.9786,0.4529,1.0077,69.3072,79.4554,19.1544
579,-0.7709,1.2281,1.2851,85.2004,88.7379,38.6811
592,-0.3609,0.688,0.8852,31.063,74.0203,14.62
633,-0.4193,1.1836,1.359,40.6965,19.2722,-7.7617
646,-0.5775,1.055,0.8888,31.3225,6.6463,-6.8609
658,-0.6449,0.9583,0.7809,60.9866,0.0814,1.4444
671,-0.641,0.96,0.7331,92.1927,3.944,16.3605
684,-0.6449,0.9539,0.9071,87.9637,-7.1553,24.4673
698,-0.6256,0.97,1.1657,75.4599,-31.2316,32.7269
739,-0.6905,1.1661,0.7025,-64.647,-62.8805,-3.5479
752,-0.5235,1.1551,0.6188,-68.1279,-54.9415,-1.3342
765,-0.4042,1.1285,0.5204,-59.8073,-39.1858,4.1009
778,-0.3624,1.1033,0.5038,-56.2653,-21.369,-0.6166
791,-0.4293,0.9654,0.5766,-45.4867,-7.6133,-7.0441
805,-0.9518,1.0481,0.9645,-51.4714,-15.1553,-13.9907
846,-0.7057,0.8545,0.6999,-8.708,-6.8805,-10.3418
858,-0.6769,1.0843,0.4655,19.4599,-3.4911,-6.7846
871,-0.6451,0.7823,0.7572,34.9561,-9.1858,-16.4029
884,-0.7794,0.9012,0.7062,49.1393,-4.6515,-6.1128
897,-0.6415,1.0088,0.7394,72.3607,12.0203,-11.9602
910,-0.4984,1.4336,0.402,87.0019,15.8371,-3.8075
952,-0.7784,0.95,0.2675,-18.5401,19.1043,-11.9144
964,-0.7113,1.0645,0.7958,-32.9676,12.5394,-9.6548
977,-0.5492,1.2342,1.0382,-4.6622,19.5776,8.9864
990,-0.5672,0.8755,1.016,-22.4332,22.6005,4.1773
1003,-0.621,1.3973,0.8197,-30.479,24.7989,31.078
1016,-0.7923,0.7315,0.7929,-35.3187,6.6615,5.3376
1057,-0.6761,0.7124,0.7099,31.2004,-1.5675,9.7956
1070,-0.6722,0.8894,0.7455,38.895,2.3562,22.6658
1083,-0.7115,0.5679,0.8651,22.1011,-4.1018,9.0933
1096,-0.744,0.7493,0.7091,12.437,-7.8881,-5.5632
1109,-0.6188,1.2315,0.0404,68.3301,-7.3843,9.7345
1122,-0.7264,1.483,0.5941,78.7271,-4.7736,3.1544
1162,-0.3522,1.3436,1.0885,51.2462,6.2035,2.6505
