time_ms,ax,ay,az,gx,gy,gz
8,-0.6937,1.0475,0.6542,-0.1591,1.0943,-1.4509
21,-0.6822,1.0368,0.6515,0.1615,1.0485,-1.4356
62,-0.6968,1.0495,0.6532,-0.5103,-0.066,-0.3822
75,-0.6949,1.0495,0.6568,0.65,0.4378,-0.5959
87,-0.7047,1.0517,0.6522,0.4668,0.8653,-1.3593
101,-0.6998,1.0502,0.6559,0.5584,0.8195,-2.26
114,-0.7017,1.0434,0.6485,2.0394,0.4378,0.7629
127,-0.6988,1.0517,0.6517,1.5508,0.5752,2.2896
168,-0.7061,1.0505,0.6578,-0.2507,-0.3561,-0.6722
181,-0.7017,1.0527,0.6524,0.421,-0.1882,-1.3745
194,-0.7017,1.0502,0.6564,0.0241,-1.1042,-0.9929
207,-0.6988,1.0754,0.6603,-2.4797,-1.4248,-2.6722
221,-0.7166,1.0531,0.6708,-8.9072,-1.3179,-3.4356
233,-0.6978,1.0578,0.6866,-18.4187,1.0485,-5.4203
275,-0.9771,1.0783,1.2066,-14.0064,-77.7607,60.7171
288,-0.6827,0.9591,0.9117,-9.182,-106.631,67.9232
300,-0.3795,0.7174,0.6192,-13.0751,-104.677,35.9079
313,-0.2178,0.7699,0.4386,-11.0293,-70.5851,2.4575
326,-0.2774,0.8732,0.5235,-8.2202,-38.0965,-25.4967
340,-0.4354,0.9477,0.5824,-12.6171,-17.5775,-49.6035
380,-1.4056,1.6681,1.3307,-53.8843,6.1477,-43.6035
393,-1.0477,1.4291,0.651,-55.9606,-11.0736,-25.4967
406,-0.7257,0.9416,0.5575,-68.5561,5.7355,-5.1913
419,-0.807,1.5483,0.5558,-93.7469,6.8806,16.6255
433,-0.3419,2.1506,-0.3571,-94.6935,10.2699,33.4957
445,-0.3065,1.6152,-0.008,-104.388,29.1706,38.5033
487,-1.0321,1.7018,-0.7457,-14.4645,55.018,45.114
500,-0.348,1.8378,-1.1393,28.6653,82.9111,113.572
512,-0.91,0.2675,2.0221,15.9783,88.392,79.0987
526,-0.9144,0.3092,1.192,73.6729,76.1325,50.7781
538,-0.5386,0.6117,1.5135,65.5355,57.2622,35.0377
551,-0.7279,0.485,1.4042,79.5355,33.934,3.6942
593,-0.7215,1.4445,1.1471,97.4134,-24.8446,-21.1913
605,-0.9053,1.2035,0.2379,153.475,-38.4019,-69.1913
618,-0.69,0.747,0.8106,66.192,-25.5317,-79.8783
632,-0.4193,1.8031,0.3929,35.505,-18.753,-40.7944
644,-0.2276,2.0314,0.6061,51.7951,-15.3943,-22.9013
657,-0.661,1.0881,0.8294,24.5432,-1.4706,-19.5883
698,-0.7257,1.0573,0.621,-16.7393,-2.463,-2.8402
711,-0.7115,1.0216,0.6344,-8.3881,-4.8294,5.3736
724,-0.6971,1.0485,0.6463,-6.5713,-5.7607,9.4346
737,-0.6949,1.0522,0.6632,-5.411,-5.4859,6.6255
750,-0.6954,1.0485,0.6632,-3.0904,-3.379,2.3965
763,-0.7003,1.0649,0.6481,-4.0064,-2.4019,-1.8173
804,-0.7,1.027,0.6564,2.6042,0.6057,2.4728
817,-0.6966,1.0404,0.6644,0.7875,0.0103,1.969
830,-0.6993,1.0473,0.6561,0.5126,0.9569,1.9537
