epoch,loss,best_loss,lr,no_improve,timestamp
--- SESSION START | 2026-04-14 01:53:21 | fresh start ---
1,1493.786377,1493.786377,1.50e-05,0,2026-04-14 01:53:43
2,1493.403442,1493.403442,3.00e-05,0,2026-04-14 01:53:58
3,1492.616577,1492.616577,4.50e-05,0,2026-04-14 01:54:12
4,1491.505005,1491.505005,6.00e-05,0,2026-04-14 01:54:27
5,1490.020020,1490.020020,7.50e-05,0,2026-04-14 01:54:42
6,1488.081543,1488.081543,9.00e-05,0,2026-04-14 01:54:57
7,1485.522095,1485.522095,1.05e-04,0,2026-04-14 01:55:11
8,1482.658936,1482.658936,1.20e-04,0,2026-04-14 01:55:26
9,1479.200317,1479.200317,1.35e-04,0,2026-04-14 01:55:41
10,1475.227295,1475.227295,1.50e-04,0,2026-04-14 01:55:56
11,1470.625854,1470.625854,1.65e-04,0,2026-04-14 01:56:10
12,1465.503418,1465.503418,1.80e-04,0,2026-04-14 01:56:25
13,1459.580933,1459.580933,1.95e-04,0,2026-04-14 01:56:40
14,1452.973511,1452.973511,2.10e-04,0,2026-04-14 01:56:54
15,1445.730591,1445.730591,2.25e-04,0,2026-04-14 01:57:10
16,1437.468018,1437.468018,2.40e-04,0,2026-04-14 01:57:26
17,1428.375244,1428.375244,2.55e-04,0,2026-04-14 01:57:42
18,1418.207275,1418.207275,2.70e-04,0,2026-04-14 01:57:58
19,1406.699341,1406.699341,2.85e-04,0,2026-04-14 01:58:13
20,1393.661865,1393.661865,3.00e-04,0,2026-04-14 01:58:29
21,1378.823242,1378.823242,3.00e-04,0,2026-04-14 01:58:45
22,1362.391846,1362.391846,3.00e-04,0,2026-04-14 01:59:00
23,1344.191528,1344.191528,3.00e-04,0,2026-04-14 01:59:16
24,1324.151978,1324.151978,3.00e-04,0,2026-04-14 01:59:31
25,1301.228271,1301.228271,3.00e-04,0,2026-04-14 01:59:47
26,1275.074097,1275.074097,3.00e-04,0,2026-04-14 02:00:02
27,1244.711182,1244.711182,3.00e-04,0,2026-04-14 02:00:17
28,1209.432373,1209.432373,3.00e-04,0,2026-04-14 02:00:32
29,1167.826172,1167.826172,2.99e-04,0,2026-04-14 02:00:48
30,1117.874878,1117.874878,2.99e-04,0,2026-04-14 02:01:03
31,1057.079590,1057.079590,2.99e-04,0,2026-04-14 02:01:18
32,983.232239,983.232239,2.99e-04,0,2026-04-14 02:01:33
33,892.857666,892.857666,2.99e-04,0,2026-04-14 02:01:48
34,783.423523,783.423523,2.98e-04,0,2026-04-14 02:02:04
35,654.601318,654.601318,2.98e-04,0,2026-04-14 02:02:19
36,514.274841,514.274841,2.98e-04,0,2026-04-14 02:02:34
37,376.019775,376.019775,2.98e-04,0,2026-04-14 02:02:49
38,256.969696,256.969696,2.97e-04,0,2026-04-14 02:03:05
39,167.673904,167.673904,2.97e-04,0,2026-04-14 02:03:20
40,105.886169,105.886169,2.97e-04,0,2026-04-14 02:03:35
41,65.301010,65.301010,2.96e-04,0,2026-04-14 02:03:51
42,39.140335,39.140335,2.96e-04,0,2026-04-14 02:04:07
43,22.572321,22.572321,2.96e-04,0,2026-04-14 02:04:23
44,12.834183,12.834183,2.95e-04,0,2026-04-14 02:04:37
45,7.745464,7.745464,2.95e-04,0,2026-04-14 02:04:51
46,5.010646,5.010646,2.94e-04,0,2026-04-14 02:05:05
47,3.422724,3.422724,2.94e-04,0,2026-04-14 02:05:19
48,2.400803,2.400803,2.94e-04,0,2026-04-14 02:05:33
49,1.741099,1.741099,2.93e-04,0,2026-04-14 02:05:48
50,1.277629,1.277629,2.93e-04,0,2026-04-14 02:06:02
51,0.943249,0.943249,2.92e-04,0,2026-04-14 02:06:15
52,0.705982,0.705982,2.91e-04,0,2026-04-14 02:06:30
53,0.533904,0.533904,2.91e-04,0,2026-04-14 02:06:45
54,0.404962,0.404962,2.90e-04,0,2026-04-14 02:06:59
55,0.310306,0.310306,2.90e-04,0,2026-04-14 02:07:13
56,0.238442,0.238442,2.89e-04,0,2026-04-14 02:07:27
57,0.187134,0.187134,2.89e-04,0,2026-04-14 02:07:41
58,0.147647,0.147647,2.88e-04,0,2026-04-14 02:07:56
59,0.118782,0.118782,2.87e-04,0,2026-04-14 02:08:10
60,0.097095,0.097095,2.87e-04,0,2026-04-14 02:08:24
61,0.080012,0.080012,2.86e-04,0,2026-04-14 02:08:38
62,0.067259,0.067259,2.85e-04,0,2026-04-14 02:08:52
63,0.057036,0.057036,2.84e-04,0,2026-04-14 02:09:06
64,0.049201,0.049201,2.84e-04,0,2026-04-14 02:09:20
65,0.042420,0.042420,2.83e-04,0,2026-04-14 02:09:34
66,0.037478,0.037478,2.82e-04,0,2026-04-14 02:09:49
67,0.033375,0.033375,2.81e-04,0,2026-04-14 02:10:02
68,0.030040,0.030040,2.81e-04,0,2026-04-14 02:10:17
69,0.027051,0.027051,2.80e-04,0,2026-04-14 02:10:31
70,0.024580,0.024580,2.79e-04,0,2026-04-14 02:10:45
71,0.022659,0.022659,2.78e-04,0,2026-04-14 02:10:59
72,0.020954,0.020954,2.77e-04,0,2026-04-14 02:11:14
73,0.019570,0.019570,2.76e-04,0,2026-04-14 02:11:28
74,0.018244,0.018244,2.76e-04,0,2026-04-14 02:11:42
75,0.017034,0.017034,2.75e-04,0,2026-04-14 02:11:57
76,0.015975,0.015975,2.74e-04,0,2026-04-14 02:12:11
77,0.015378,0.015378,2.73e-04,0,2026-04-14 02:12:25
78,0.014510,0.014510,2.72e-04,0,2026-04-14 02:12:40
79,0.013910,0.013910,2.71e-04,0,2026-04-14 02:12:54
80,0.013379,0.013379,2.70e-04,0,2026-04-14 02:13:08
81,0.012848,0.012848,2.69e-04,0,2026-04-14 02:13:22
82,0.012326,0.012326,2.68e-04,0,2026-04-14 02:13:37
83,0.012014,0.012014,2.67e-04,0,2026-04-14 02:13:51
84,0.011716,0.011716,2.66e-04,0,2026-04-14 02:14:05
85,0.011322,0.011322,2.65e-04,0,2026-04-14 02:14:19
86,0.011056,0.011056,2.64e-04,0,2026-04-14 02:14:33
87,0.010729,0.010729,2.63e-04,0,2026-04-14 02:14:48
88,0.010418,0.010418,2.62e-04,0,2026-04-14 02:15:02
89,0.010211,0.010211,2.60e-04,0,2026-04-14 02:15:16
90,0.009948,0.009948,2.59e-04,0,2026-04-14 02:15:30
91,0.009866,0.009866,2.58e-04,0,2026-04-14 02:15:43
92,0.009615,0.009615,2.57e-04,0,2026-04-14 02:15:57
93,0.009493,0.009493,2.56e-04,0,2026-04-14 02:16:11
94,0.009283,0.009283,2.55e-04,0,2026-04-14 02:16:25
95,0.009140,0.009140,2.54e-04,0,2026-04-14 02:16:40
96,0.008951,0.008951,2.52e-04,0,2026-04-14 02:16:54
97,0.008923,0.008923,2.51e-04,0,2026-04-14 02:17:07
98,0.008653,0.008653,2.50e-04,0,2026-04-14 02:17:22
99,0.008625,0.008625,2.49e-04,0,2026-04-14 02:17:36
100,0.008569,0.008569,2.48e-04,0,2026-04-14 02:17:50
101,0.008450,0.008450,2.46e-04,0,2026-04-14 02:18:04
102,0.008372,0.008372,2.45e-04,0,2026-04-14 02:18:18
103,0.008276,0.008276,2.44e-04,0,2026-04-14 02:18:32
104,0.008159,0.008159,2.43e-04,0,2026-04-14 02:18:47
105,0.008098,0.008098,2.41e-04,0,2026-04-14 02:19:01
106,0.008096,0.008096,2.40e-04,0,2026-04-14 02:19:16
107,0.007938,0.007938,2.39e-04,0,2026-04-14 02:19:31
108,0.007913,0.007913,2.37e-04,0,2026-04-14 02:19:47
109,0.007834,0.007834,2.36e-04,0,2026-04-14 02:20:02
110,0.007829,0.007829,2.35e-04,0,2026-04-14 02:20:18
111,0.007699,0.007699,2.33e-04,0,2026-04-14 02:20:33
--- SESSION END | ctrl+c | stopped at epoch 112 | best_loss=0.007699 | 2026-04-14 02:20:47 ---
--- SESSION START | 2026-04-14 03:03:06 | fresh start ---
--- SESSION END | ctrl+c (no weights) | stopped at epoch 0 | best_loss=inf | 2026-04-14 03:06:41 ---
--- SESSION START | 2026-04-14 03:08:44 | fresh start ---
--- SESSION END | ctrl+c (no weights) | stopped at epoch 0 | best_loss=inf | 2026-04-14 03:09:05 ---
--- SESSION START | 2026-04-14 03:10:58 | fresh start ---
